id,category,title,source,usage,url,section_hint,excerpt
OFF-01,監督指針,保険会社向けの総合的な監督指針 トップ,金融庁,監督指針全体の目次・最新版確認,https://www.fsa.go.jp/common/law/guide/ins/index.html,保険会社向けの総合的な監督指針 トップ,監督指針全体の目次・最新版確認用。該当章への入口として使用。
OFF-02,監督指針,II-2-5 商品開発に係る内部管理態勢,金融庁,商品開発プロセス、内部管理、保険計理人・関連部門連携,https://www.fsa.go.jp/common/law/guide/ins/02b.html#:~:text=II%20%EF%BC%8D%EF%BC%92%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E6%84%8F%E7%BE%A9,II－2－5 商品開発に係る内部管理態勢,商品内容は普通保険約款・事業方法書に、料率は算出方法書に記載される。商品開発では、自己責任原則に基づき、リスク面・財務面・募集面・法制面等を検討する内部管理態勢が求められる。
OFF-03,監督指針,II-3-9 保険引受リスク管理態勢,金融庁,引受リスク、引受方針、リスク管理態勢,https://www.fsa.go.jp/common/law/guide/ins/02c.html#:~:text=II%20%EF%BC%8D%EF%BC%93%EF%BC%8D%EF%BC%99%20%E4%BF%9D%E9%99%BA%E5%BC%95%E5%8F%97%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86%E6%85%8B%E5%8B%A2,II－3－9 保険引受リスク管理態勢,保険引受リスクの所在、引受方針、リスク量把握、リスク管理部門による検証などの確認先。
OFF-04,監督指針,II-3-10 再保険に関するリスク管理,金融庁,再保険リスク、再保険先管理、リスク移転の確認,https://www.fsa.go.jp/common/law/guide/ins/02c.html#:~:text=II%20%EF%BC%8D%EF%BC%93%EF%BC%8D10%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E6%9C%89%E3%83%BB%E5%87%BA%E5%86%8D%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86,II－3－10 再保険に関するリスク管理,保有するリスクの規模・集中度を出再を通じて適正に管理するため、保有・出再政策、保有限度額、再保険によるカバー状況などを確認する箇所。
OFF-05,監督指針,II-3-12 流動性リスク管理態勢,金融庁,流動性リスク、金利上昇時の解約増加・資金流出,https://www.fsa.go.jp/common/law/guide/ins/02c.html#:~:text=II%20%EF%BC%8D%EF%BC%93%EF%BC%8D12%20%E6%B5%81%E5%8B%95%E6%80%A7%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86%E6%85%8B%E5%8B%A2,II－3－12 流動性リスク管理態勢,資金繰り・流動性リスクの管理態勢、金利上昇時の解約増加や資金流出への備えを確認する箇所。
OFF-06,監督指針,II-4-2 保険募集管理態勢,金融庁,契約締結前交付書面、MVA等の商品説明関連,https://www.fsa.go.jp/common/law/guide/ins/02d.html#:~:text=%E5%A5%91%E7%B4%84%E7%B7%A0%E7%B5%90%E5%89%8D%E4%BA%A4%E4%BB%98%E6%9B%B8%E9%9D%A2,II－4－2 保険募集管理態勢／契約締結前交付書面,契約概要・注意喚起情報、特定保険契約の契約締結前交付書面、MVA等の商品説明に関する確認先。
OFF-07,監督指針,IV-1 共通事項,金融庁,商品審査の共通事項、危険選択、告知項目、免責、団体保険等,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%20%E5%85%B1%E9%80%9A%E4%BA%8B%E9%A0%85,IV－1 共通事項,第一分野・第二分野・第三分野の商品審査に共通する留意点。約款、保障内容、危険選択、告知、免責、保険金額等を含む。
OFF-08,監督指針,IV-1-4 危険選択,金融庁,危険選択、告知項目、引受範囲に関する商品審査,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D%EF%BC%94%20%E5%8D%B1%E9%99%BA%E9%81%B8%E6%8A%9E,IV－1－4 危険選択,被保険者の健康状態等に係る身体的危険、職業等に係る環境的危険を適切に選択する方策、モラルリスク排除、無選択型商品の逆選択対応を確認する箇所。
OFF-09,監督指針,IV-1-8 保険金額・保険期間・契約年齢範囲,金融庁,保険金額・保険期間・契約年齢範囲の妥当性,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D%EF%BC%98%20%E4%BF%9D%E9%99%BA%E9%87%91%E9%A1%8D%E3%83%BB%E4%BF%9D%E9%99%BA%E6%9C%9F%E9%96%93%E3%83%BB%E5%A5%91%E7%B4%84%E5%B9%B4%E9%BD%A2%E7%AF%84%E5%9B%B2,IV－1－8 保険金額・保険期間・契約年齢範囲,保険金額・保険期間・契約年齢範囲が公序良俗の観点から問題ないか、保険金額等がモラルリスク排除の観点から適切かを確認する箇所。
OFF-10,監督指針,IV-1-13 インターネットによる商品販売の取扱い,金融庁,通信販売・インターネット販売チャネルの留意点,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D13%20%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88%E3%81%AB%E3%82%88%E3%82%8B%E5%95%86%E5%93%81%E8%B2%A9%E5%A3%B2%E3%81%AE%E5%8F%96%E6%89%B1%E3%81%84,IV－1－13 インターネットによる商品販売の取扱い,インターネット販売・通信販売における商品説明、本人確認、申込意思確認等の留意点。
