id,year,part,main,sub,points,theme,ask,keywords,type,cluster,difficulty,importance,textbook,heading,related,memo,pdf_page,internal_page,source,question_page,problem_pdf_page,answer_pdf_page,problem_path,textbook_path,answer_path,official_exam_url
H20-Q1(1),H20,第Ⅰ部,問題1,(1),5,修正共同保険式再保険の決済・mod-co利率,語句記入,再保険料／出再保険受入手数料／修正共同保険準備金調整額／mod-co利率,知識型,再保険,3,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.3.3 修正共同保険式再保険,8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険,25,8-21,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_08.pdf#page=25,exams/H20G.pdf#page=6,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q1(2),H20,第Ⅰ部,問題1,(2),5,団体定期保険の平均保険料率,説明,平均保険料率／総保険料／総保険金額／中途異動／公平性,知識型,団体生命保険,2,S,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.6.2 平均保険料率,6.6.1 保険料／6.6.3 経験料率,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.6.1 保険料／6.6.3 経験料率,20,6-16,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_06.pdf#page=20,exams/H20G.pdf#page=6,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q1(3),H20,第Ⅰ部,問題1,(3),5,解約返戻金計算基礎率の設定,説明,保険料計算基礎率／責任準備金計算基礎率／契約者価額／整合性,知識型,解約返戻金,3,A,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.2.2 解約返戻金に係る法規整,2.4 解約返戻金に関する視点／2.5 商品開発における留意事項,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.4 解約返戻金に関する視点／2.5 商品開発における留意事項,14,2-8,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_02.pdf#page=14,exams/H20G.pdf#page=6,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q2(1),H20,第Ⅰ部,問題2,(1),19,商品毎収益検証の利源別分析,分析・説明,プロフィット・マージン／費差益／利差益／死差益／責準繰入／解約差益,計算型,商品毎収益検証,5,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン,10.2 商品毎収益検証の目的／10.10 モデルの構築,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.2 商品毎収益検証の目的／10.10 モデルの構築,54,10-48,H20G.pdf,p.2,2,7,exams/H20G.pdf#page=2,textbooks/hoken1-seiho_10.pdf#page=54,exams/H20G.pdf#page=7,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=2
H20-Q2(2),H20,第Ⅰ部,問題2,(2),?,アキュムレーション方式による営業保険料設定,計算,Hoskings method／アセット・シェア／最終利益目標額／ポアソン分布,計算型,アセット・シェア,4,A,hoken1-seiho_03.pdf,第3章 アセット・シェア ＞ 3.3.1 料率設定への活用,3.2 アセット・シェア計算の原理,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：3.2 アセット・シェア計算の原理,25,3-21,H20G.pdf,p.4,4,8,exams/H20G.pdf#page=4,textbooks/hoken1-seiho_03.pdf#page=25,exams/H20G.pdf#page=8,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=4
H20-Q3(1),H20,第Ⅰ部,問題3,(1),?,優良体保険導入時の留意点,説明,優良体割合／既契約への影響／料率細分化／査定トラブル,知識型,危険選択・料率細分化,3,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.5.3 保険料率の区分にあたって留意すべき事項,4.4.4 危険選択（アンダーライティング）,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.4 危険選択（アンダーライティング）,26,1-24,H20G.pdf,p.5,5,9,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_01.pdf#page=26,exams/H20G.pdf#page=9,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q3(2),H20,第Ⅰ部,問題3,(2),?,医療保険の解約返戻金と死亡保障の関係,説明,トンチン性／解約返戻金上限／予定解約率／死亡保障引上げ,複合型,医療保険・解約返戻金,4,A,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.3.3 死亡保障 ＞ 7.3.4 死亡率を保険料計算の基礎に用いる場合の留意点,7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点,15,7-11,H20G.pdf,p.5,5,9,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_07.pdf#page=15,exams/H20G.pdf#page=9,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q3(3),H20,第Ⅰ部,問題3,(3),?,契約者貸付利率の水準設定,説明,市中金利／予定利率／利差配当／失効消滅／事業費,知識型,解約返戻金,3,B,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.4.1 健全性 ＞ 2.4.2 公平性,1.4.3 予定利率,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.4.3 予定利率,20,2-14,H20G.pdf,p.5,5,10,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_02.pdf#page=20,exams/H20G.pdf#page=10,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q4(1),H20,第Ⅱ部,問題4,(1),40,販売チャネル別の営業保険料率・付加保険料設定,所見論述,付加保険料／αβγ方式／通信販売チャネル／費用主義／公平性,所見型,営業保険料・販売チャネル,5,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.4.4 予定事業費率,4.4.3 販売経路（営業、募集）／1.5 保険料の細分化,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.3 販売経路（営業、募集）／1.5 保険料の細分化,16,1-14,H20G.pdf,p.5,5,12,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_01.pdf#page=16,exams/H20G.pdf#page=12,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q4(2),H20,第Ⅱ部,問題4,(2),40,医療保険の商品開発・リスク管理,所見論述,モラルリスク／予定発生率／医療技術／商品設計／基礎率設定,所見型,医療保険・商品開発,5,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点,7.3 医療保険の代表的保障内容／4.2 商品開発プロセス,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.3 医療保険の代表的保障内容／4.2 商品開発プロセス,20,7-16,H20G.pdf,p.5,5,17,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_07.pdf#page=20,exams/H20G.pdf#page=17,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H21-Q1(1),H21,第Ⅰ部,問題1,(1),?,財務再保険・保険リスク証券化,語句記入,財務再保険／収益認識／預かり金／Catボンド／SPC,知識型,再保険,3,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.4.2 証券化,8.2.4 伝統的再保険・非伝統的再保険／8.4.3 ファイナイト・リスク保険,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.2.4 伝統的再保険・非伝統的再保険／8.4.3 ファイナイト・リスク保険,35,8-31,H21G.pdf,p.1,1,6,exams/H21G.pdf#page=1,textbooks/hoken1-seiho_08.pdf#page=35,exams/H21G.pdf#page=6,
