id,year,part,main,sub,points,theme,ask,keywords,type,cluster,difficulty,importance,textbook,heading,related,memo,pdf_page,internal_page,source,question_page,problem_pdf_page,answer_pdf_page,problem_path,textbook_path,answer_path,official_primary_title,official_primary_url,official_related_titles,official_related_urls,official_ref_count,references_json,reference_count,reference_summary,official_display_section,official_display_excerpt,official_exam_url
H20-Q1(1),H20,第Ⅰ部,問題1,(1),5,修正共同保険式再保険の決済・mod-co利率,語句記入,再保険料／出再保険受入手数料／修正共同保険準備金調整額／mod-co利率,知識型,再保険,3,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.3.3 修正共同保険式再保険,8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険,25,8-21,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_08.pdf#page=25,exams/H20G.pdf#page=6,II-3-10 再保険に関するリスク管理,https://www.fsa.go.jp/common/law/guide/ins/02c.html#:~:text=II%20%EF%BC%8D%EF%BC%93%EF%BC%8D10%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E6%9C%89%E3%83%BB%E5%87%BA%E5%86%8D%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86,,,1,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第8章 再保険 ＞ 8.3.3 修正共同保険式再保険"", ""source"": ""hoken1-seiho_08.pdf"", ""usage"": ""8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険"", ""url"": ""textbooks/hoken1-seiho_08.pdf#page=25"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.3.2 共同保険式再保険／8.2.4 伝統的再保険・非伝統的再保険"", ""pdf_page"": ""25"", ""internal_page"": ""8-21""}, {""id"": ""OFF-04"", ""category"": ""監督指針"", ""title"": ""II-3-10 再保険に関するリスク管理"", ""source"": ""金融庁"", ""usage"": ""再保険リスク、再保険先管理、リスク移転の確認"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/02c.html#:~:text=II%20%EF%BC%8D%EF%BC%93%EF%BC%8D10%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E6%9C%89%E3%83%BB%E5%87%BA%E5%86%8D%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86"", ""type"": ""公式"", ""reason"": ""再保険リスク、再保険先管理、リスク移転の確認"", ""section_hint"": ""II－3－10 再保険に関するリスク管理"", ""excerpt"": ""保有するリスクの規模・集中度を出再を通じて適正に管理するため、保有・出再政策、保有限度額、再保険によるカバー状況などを確認する箇所。"", ""display_mode"": ""official_panel""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.1"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.1"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.1 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",3,教科書：第8章 再保険 ＞ 8.3.3 修正共同保険式再保険 ／ 公式：II-3-10 再保険に関するリスク管理 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.1,II－3－10 再保険に関するリスク管理,保有するリスクの規模・集中度を出再を通じて適正に管理するため、保有・出再政策、保有限度額、再保険によるカバー状況などを確認する箇所。,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q1(2),H20,第Ⅰ部,問題1,(2),5,団体定期保険の平均保険料率,説明,平均保険料率／総保険料／総保険金額／中途異動／公平性,知識型,団体生命保険,2,S,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.6.2 平均保険料率,6.6.1 保険料／6.6.3 経験料率,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.6.1 保険料／6.6.3 経験料率,20,6-16,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_06.pdf#page=20,exams/H20G.pdf#page=6,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第6章 団体生命保険 ＞ 6.6.2 平均保険料率"", ""source"": ""hoken1-seiho_06.pdf"", ""usage"": ""6.6.1 保険料／6.6.3 経験料率"", ""url"": ""textbooks/hoken1-seiho_06.pdf#page=20"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.6.1 保険料／6.6.3 経験料率"", ""pdf_page"": ""20"", ""internal_page"": ""6-16""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.1"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.1"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.1 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第6章 団体生命保険 ＞ 6.6.2 平均保険料率 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.1,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q1(3),H20,第Ⅰ部,問題1,(3),5,解約返戻金計算基礎率の設定,説明,保険料計算基礎率／責任準備金計算基礎率／契約者価額／整合性,知識型,解約返戻金,3,A,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.2.2 解約返戻金に係る法規整,2.4 解約返戻金に関する視点／2.5 商品開発における留意事項,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.4 解約返戻金に関する視点／2.5 商品開発における留意事項,14,2-8,H20G.pdf,p.1,1,6,exams/H20G.pdf#page=1,textbooks/hoken1-seiho_02.pdf#page=14,exams/H20G.pdf#page=6,IV-5-3 契約者価額,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%93%20%E5%A5%91%E7%B4%84%E8%80%85%E4%BE%A1%E9%A1%8D,,,1,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第2章 解約および解約返戻金 ＞ 2.2.2 解約返戻金に係る法規整"", ""source"": ""hoken1-seiho_02.pdf"", ""usage"": ""2.4 解約返戻金に関する視点／2.5 商品開発における留意事項"", ""url"": ""textbooks/hoken1-seiho_02.pdf#page=14"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.4 解約返戻金に関する視点／2.5 商品開発における留意事項"", ""pdf_page"": ""14"", ""internal_page"": ""2-8""}, {""id"": ""OFF-16"", ""category"": ""監督指針"", ""title"": ""IV-5-3 契約者価額"", ""source"": ""金融庁"", ""usage"": ""解約返戻金、契約者価額、MVA、市場価格調整"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%93%20%E5%A5%91%E7%B4%84%E8%80%85%E4%BE%A1%E9%A1%8D"", ""type"": ""公式"", ""reason"": ""解約返戻金、契約者価額、MVA、市場価格調整"", ""section_hint"": ""IV－5－3 契約者価額"", ""excerpt"": ""解約返戻金は支出した事業費・投資上の損失・保険設計上の仕組み等に照らして合理的かつ妥当か、MVA係数はリスク管理や取引費用との整合性から妥当かを確認する箇所。"", ""display_mode"": ""official_panel""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.1"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.1"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.1 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",3,教科書：第2章 解約および解約返戻金 ＞ 2.2.2 解約返戻金に係る法規整 ／ 公式：IV-5-3 契約者価額 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.1,IV－5－3 契約者価額,解約返戻金は支出した事業費・投資上の損失・保険設計上の仕組み等に照らして合理的かつ妥当か、MVA係数はリスク管理や取引費用との整合性から妥当かを確認する箇所。,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=1
H20-Q2(1),H20,第Ⅰ部,問題2,(1),19,商品毎収益検証の利源別分析,分析・説明,プロフィット・マージン／費差益／利差益／死差益／責準繰入／解約差益,計算型,商品毎収益検証,5,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン,10.2 商品毎収益検証の目的／10.10 モデルの構築,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.2 商品毎収益検証の目的／10.10 モデルの構築,54,10-48,H20G.pdf,p.2,2,7,exams/H20G.pdf#page=2,textbooks/hoken1-seiho_10.pdf#page=54,exams/H20G.pdf#page=7,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン"", ""source"": ""hoken1-seiho_10.pdf"", ""usage"": ""10.2 商品毎収益検証の目的／10.10 モデルの構築"", ""url"": ""textbooks/hoken1-seiho_10.pdf#page=54"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.2 商品毎収益検証の目的／10.10 モデルの構築"", ""pdf_page"": ""54"", ""internal_page"": ""10-48""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.2"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=2"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.2"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.2 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン ／ 公式原本：日本アクチュアリー会 H20問題PDF p.2,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=2
H20-Q2(2),H20,第Ⅰ部,問題2,(2),?,アキュムレーション方式による営業保険料設定,計算,Hoskings method／アセット・シェア／最終利益目標額／ポアソン分布,計算型,アセット・シェア,4,A,hoken1-seiho_03.pdf,第3章 アセット・シェア ＞ 3.3.1 料率設定への活用,3.2 アセット・シェア計算の原理,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：3.2 アセット・シェア計算の原理,25,3-21,H20G.pdf,p.4,4,8,exams/H20G.pdf#page=4,textbooks/hoken1-seiho_03.pdf#page=25,exams/H20G.pdf#page=8,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第3章 アセット・シェア ＞ 3.3.1 料率設定への活用"", ""source"": ""hoken1-seiho_03.pdf"", ""usage"": ""3.2 アセット・シェア計算の原理"", ""url"": ""textbooks/hoken1-seiho_03.pdf#page=25"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：3.2 アセット・シェア計算の原理"", ""pdf_page"": ""25"", ""internal_page"": ""3-21""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.4"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=4"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.4"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.4 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第3章 アセット・シェア ＞ 3.3.1 料率設定への活用 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.4,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=4
H20-Q3(1),H20,第Ⅰ部,問題3,(1),?,優良体保険導入時の留意点,説明,優良体割合／既契約への影響／料率細分化／査定トラブル,知識型,危険選択・料率細分化,3,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.5.3 保険料率の区分にあたって留意すべき事項,4.4.4 危険選択（アンダーライティング）,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.4 危険選択（アンダーライティング）,26,1-24,H20G.pdf,p.5,5,9,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_01.pdf#page=26,exams/H20G.pdf#page=9,IV-1-4 危険選択,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D%EF%BC%94%20%E5%8D%B1%E9%99%BA%E9%81%B8%E6%8A%9E,IV-5-1 保険料,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E6%96%99,2,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第1章 営業保険料 ＞ 1.5.3 保険料率の区分にあたって留意すべき事項"", ""source"": ""hoken1-seiho_01.pdf"", ""usage"": ""4.4.4 危険選択（アンダーライティング）"", ""url"": ""textbooks/hoken1-seiho_01.pdf#page=26"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.4 危険選択（アンダーライティング）"", ""pdf_page"": ""26"", ""internal_page"": ""1-24""}, {""id"": ""OFF-08"", ""category"": ""監督指針"", ""title"": ""IV-1-4 危険選択"", ""source"": ""金融庁"", ""usage"": ""危険選択、告知項目、引受範囲に関する商品審査"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D%EF%BC%94%20%E5%8D%B1%E9%99%BA%E9%81%B8%E6%8A%9E"", ""type"": ""公式"", ""reason"": ""危険選択、告知項目、引受範囲に関する商品審査"", ""section_hint"": ""IV－1－4 危険選択"", ""excerpt"": ""被保険者の健康状態等に係る身体的危険、職業等に係る環境的危険を適切に選択する方策、モラルリスク排除、無選択型商品の逆選択対応を確認する箇所。"", ""display_mode"": ""official_panel""}, {""id"": ""OFF-14"", ""category"": ""監督指針"", ""title"": ""IV-5-1 保険料"", ""source"": ""金融庁"", ""usage"": ""保険料・付加保険料・料率区分・割増引制度"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E6%96%99"", ""type"": ""公式"", ""reason"": ""保険料・付加保険料・料率区分・割増引制度"", ""section_hint"": ""IV－5－1 保険料"", ""excerpt"": ""保険料の算出方法について、十分性・公平性等を考慮して合理的かつ妥当か、不当な差別的扱いがないか、予定発生率等が基礎データに基づくかを確認する箇所。"", ""display_mode"": ""official_panel""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.5"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.5"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.5 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",4,教科書：第1章 営業保険料 ＞ 1.5.3 保険料率の区分にあたって留意すべき事項 ／ 公式：IV-1-4 危険選択 ／ 公式：IV-5-1 保険料 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.5,IV－1－4 危険選択,被保険者の健康状態等に係る身体的危険、職業等に係る環境的危険を適切に選択する方策、モラルリスク排除、無選択型商品の逆選択対応を確認する箇所。,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q3(2),H20,第Ⅰ部,問題3,(2),?,医療保険の解約返戻金と死亡保障の関係,説明,トンチン性／解約返戻金上限／予定解約率／死亡保障引上げ,複合型,医療保険・解約返戻金,4,A,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.3.3 死亡保障 ＞ 7.3.4 死亡率を保険料計算の基礎に用いる場合の留意点,7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点,15,7-11,H20G.pdf,p.5,5,9,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_07.pdf#page=15,exams/H20G.pdf#page=9,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第7章 医療保険 ＞ 7.3.3 死亡保障 ＞ 7.3.4 死亡率を保険料計算の基礎に用いる場合の留意点"", ""source"": ""hoken1-seiho_07.pdf"", ""usage"": ""7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点"", ""url"": ""textbooks/hoken1-seiho_07.pdf#page=15"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.5 医療保険の責任準備金等／2.4 解約返戻金に関する視点"", ""pdf_page"": ""15"", ""internal_page"": ""7-11""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.5"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.5"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.5 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第7章 医療保険 ＞ 7.3.3 死亡保障 ＞ 7.3.4 死亡率を保険料計算の基礎に用いる場合の留意点 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.5,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q3(3),H20,第Ⅰ部,問題3,(3),?,契約者貸付利率の水準設定,説明,市中金利／予定利率／利差配当／失効消滅／事業費,知識型,解約返戻金,3,B,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.4.1 健全性 ＞ 2.4.2 公平性,1.4.3 予定利率,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.4.3 予定利率,20,2-14,H20G.pdf,p.5,5,10,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_02.pdf#page=20,exams/H20G.pdf#page=10,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第2章 解約および解約返戻金 ＞ 2.4.1 健全性 ＞ 2.4.2 公平性"", ""source"": ""hoken1-seiho_02.pdf"", ""usage"": ""1.4.3 予定利率"", ""url"": ""textbooks/hoken1-seiho_02.pdf#page=20"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.4.3 予定利率"", ""pdf_page"": ""20"", ""internal_page"": ""2-14""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.5"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.5"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.5 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第2章 解約および解約返戻金 ＞ 2.4.1 健全性 ＞ 2.4.2 公平性 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.5,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q4(1),H20,第Ⅱ部,問題4,(1),40,販売チャネル別の営業保険料率・付加保険料設定,所見論述,付加保険料／αβγ方式／通信販売チャネル／費用主義／公平性,所見型,営業保険料・販売チャネル,5,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.4.4 予定事業費率,4.4.3 販売経路（営業、募集）／1.5 保険料の細分化,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.3 販売経路（営業、募集）／1.5 保険料の細分化,16,1-14,H20G.pdf,p.5,5,12,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_01.pdf#page=16,exams/H20G.pdf#page=12,IV-5-1 保険料,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E6%96%99,IV-1-13 インターネットによる商品販売の取扱い,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D13%20%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88%E3%81%AB%E3%82%88%E3%82%8B%E5%95%86%E5%93%81%E8%B2%A9%E5%A3%B2%E3%81%AE%E5%8F%96%E6%89%B1%E3%81%84,2,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第1章 営業保険料 ＞ 1.4.4 予定事業費率"", ""source"": ""hoken1-seiho_01.pdf"", ""usage"": ""4.4.3 販売経路（営業、募集）／1.5 保険料の細分化"", ""url"": ""textbooks/hoken1-seiho_01.pdf#page=16"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.3 販売経路（営業、募集）／1.5 保険料の細分化"", ""pdf_page"": ""16"", ""internal_page"": ""1-14""}, {""id"": ""OFF-14"", ""category"": ""監督指針"", ""title"": ""IV-5-1 保険料"", ""source"": ""金融庁"", ""usage"": ""保険料・付加保険料・料率区分・割増引制度"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E6%96%99"", ""type"": ""公式"", ""reason"": ""保険料・付加保険料・料率区分・割増引制度"", ""section_hint"": ""IV－5－1 保険料"", ""excerpt"": ""保険料の算出方法について、十分性・公平性等を考慮して合理的かつ妥当か、不当な差別的扱いがないか、予定発生率等が基礎データに基づくかを確認する箇所。"", ""display_mode"": ""official_panel""}, {""id"": ""OFF-10"", ""category"": ""監督指針"", ""title"": ""IV-1-13 インターネットによる商品販売の取扱い"", ""source"": ""金融庁"", ""usage"": ""通信販売・インターネット販売チャネルの留意点"", ""url"": ""https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D13%20%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88%E3%81%AB%E3%82%88%E3%82%8B%E5%95%86%E5%93%81%E8%B2%A9%E5%A3%B2%E3%81%AE%E5%8F%96%E6%89%B1%E3%81%84"", ""type"": ""公式"", ""reason"": ""通信販売・インターネット販売チャネルの留意点"", ""section_hint"": ""IV－1－13 インターネットによる商品販売の取扱い"", ""excerpt"": ""インターネット販売・通信販売における商品説明、本人確認、申込意思確認等の留意点。"", ""display_mode"": ""official_panel""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.5"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.5"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.5 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",4,教科書：第1章 営業保険料 ＞ 1.4.4 予定事業費率 ／ 公式：IV-5-1 保険料 ／ 公式：IV-1-13 インターネットによる商品販売の取扱い ／ 公式原本：日本アクチュアリー会 H20問題PDF p.5,IV－5－1 保険料,保険料の算出方法について、十分性・公平性等を考慮して合理的かつ妥当か、不当な差別的扱いがないか、予定発生率等が基礎データに基づくかを確認する箇所。,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
H20-Q4(2),H20,第Ⅱ部,問題4,(2),40,医療保険の商品開発・リスク管理,所見論述,モラルリスク／予定発生率／医療技術／商品設計／基礎率設定,所見型,医療保険・商品開発,5,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点,7.3 医療保険の代表的保障内容／4.2 商品開発プロセス,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.3 医療保険の代表的保障内容／4.2 商品開発プロセス,20,7-16,H20G.pdf,p.5,5,17,exams/H20G.pdf#page=5,textbooks/hoken1-seiho_07.pdf#page=20,exams/H20G.pdf#page=17,,,,,,"[{""type"": ""教科書"", ""category"": ""教科書"", ""title"": ""第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点"", ""source"": ""hoken1-seiho_07.pdf"", ""usage"": ""7.3 医療保険の代表的保障内容／4.2 商品開発プロセス"", ""url"": ""textbooks/hoken1-seiho_07.pdf#page=20"", ""reason"": ""教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.3 医療保険の代表的保障内容／4.2 商品開発プロセス"", ""pdf_page"": ""20"", ""internal_page"": ""7-16""}, {""id"": ""ACT-H20G"", ""category"": ""過去問原本"", ""title"": ""平成20年度 生保1（問題）PDF p.5"", ""source"": ""日本アクチュアリー会"", ""usage"": ""問題原本の公式PDF。問題・解答の対応確認、PDF本文確認用。"", ""url"": ""https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5"", ""type"": ""公式"", ""reason"": ""日本アクチュアリー会公開の過去問原本PDF。"", ""section_hint"": ""平成20年度 生保1（問題） p.5"", ""excerpt"": ""この設問の問題文は、同会公開PDFの p.5 に対応。ローカル同梱PDFと同一内容の公式原本として確認可能。"", ""display_mode"": ""official_panel""}]",2,教科書：第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点 ／ 公式原本：日本アクチュアリー会 H20問題PDF p.5,,,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf#page=5
